[2025-06-28 22:12:25.069] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":34}
[2025-06-28 22:12:25.070] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":34}
[2025-06-28 22:12:25.084] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":36}
[2025-06-28 22:12:25.084] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":36}
[2025-06-28 22:12:25.085] [info]  Splash.updateCountdownSeconds: undefined
[2025-06-28 22:12:25.099] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":37}
[2025-06-28 22:12:25.100] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":37}
[2025-06-28 22:12:25.104] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":38}
[2025-06-28 22:12:25.105] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":38}
[2025-06-28 22:12:25.109] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":39}
[2025-06-28 22:12:25.110] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":39}
[2025-06-28 22:12:25.112] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":40}
[2025-06-28 22:12:25.113] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":40}
[2025-06-28 22:12:25.120] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":41}
[2025-06-28 22:12:25.121] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":41}
[2025-06-28 22:12:25.124] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":42}
[2025-06-28 22:12:25.125] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":42}
